DICE Juja LVCT,DICE Juja LVCT
12 Engineers,12 Engineers
7KR Mrs,7KR Mrs Health Centre
AAR Adams,AAR Adams
AAR City,AAR City Centre Clinic
AAR Sarit Westlands,AAR Clinic Sarit Centre (Westlands)
AAR Donholm,AAR Donholm
AAR Health,AAR Health Care
AAR Ruaka,AAR Health Care Ruaka
AAR Buruburu,AAR Healthcare Buruburu
AAR Limited Karen,AAR Healthcare Limited (Karen)
AAR mountain mall,AAR mountain mall
AAR Parklands,AAR Parklands Medical Centre
AAR Thika Road,AAR Thika Road Clinic
AAR Williamson,AAR Williamson
Abandoned Child,Abandoned Child Care
Abby,Abby Medical Clinic
Abra,Abra Health Services
Abundant,Abundant Medical Centre
Access Afya,Access Afya Kenya Medical Clinic
Access Afya Kiambiu,Access Afya Kiambiu
Access Afya Viwandani,Access Afya Medical Centre Viwandani
Ace Africa k Wellness,Ace Africa (k) Wellness Centre
ACK Cura,ACK Cura Medical Clinic
ACK Kanunga,ACK Kanunga
Adonai,Adonai Medical Services
Adopta Life Foundation Ruai,Adopta Life Foundation (Ruai)
Adventist ForSupport Kilimani,Adventist Centre For Care and Support (Kilimani)
Aenue,Aenue Health Care
African Divine ChurchOrg.,African Divine Church-Org.
Afri Karen,Africare Ltd Karen Clinic
Afri TRM,Africare Ltd Medical- TRM
Afri NHIF,Africare Ltd NHIF clinic
Afya Bora Karia,Afya Bora Clinic (Karia)
Afya,Afya Healthcare
Afya House,Afya House
Afya Juja,Afya Juja Clinic
Afya Dagoretti,Afya Medical Clinic (Dagoretti)
Afya,Afya Medical Services
Afya Royal,Afya Royal Clinic
Afyastar,Afyastar Medical Clinic
Aga khan Greenspan,Aga khan Greenspan Medical Centre
Aga Khan,Aga Khan Health Services Bungoma Centre
Aga Khan,Aga Khan Hospital
Aga Khan Juja,Aga Khan Hospital (Juja)
Aga Khan Tmall,Aga Khan Hospital(T-mall)
Aga Khan Ruaka,Aga Khan Medical Clinic Ruaka
Aga Khan University Hosp Mother Child,Aga Khan University Hosp Mother & Child Clinic
Aga Khan University Buruburu,Aga Khan University Hospital (Buruburu)
Aga Khan University Capital,Aga Khan University Hospital (Capital Centre)
Aga Khan University Kikuyu,Aga Khan University Hospital (Kikuyu Medical Clinic)
Aga Khan University Kiambu,Aga Khan University Hospital Kiambu Clinic
Aga Khan University Njiru,Aga Khan University Hospital(Njiru)
Agakhan University Embakasi AUn,Agakhan University Clinic Embakasi (AUn)
Agakhan University Valley Arcade,Agakhan University Hospital Valley Arcade Clinic
Agha Khan,Agha Khan  Medical Centre
Agha Khan Eastleigh,Agha Khan clinic ( Eastleigh)
Agkan,Agkan medical clinic
AhadiMaternity,Ahadi Health and Maternity Services
Ahadi Maternity,Ahadi Maternity
AIC Kijabe Nairobi,AIC Kijabe Hospital Nairobi Medical Centre
AIC Zion,AIC Zion Medical clinic
AIDS Foundation Parklands,AIDS Health Care Foundation Parklands Clinic
Aimon,Aimon medical clinic
AJ,AJ clinic
Akshar Nursing,Akshar Nursing Home
Al Amin Nursing,Al Amin Nursing Home
AlGadhir,Al-Gadhir Clinic
Alesta,Alestacare Medical Centre
Ali Juja Hope,Ali Juja Hope Medical Centre
Alice Nursing,Alice Nursing Home
Alika,Alika Medical Clinic
Aliki,Aliki medical clinic
Alliance,Alliance Medical Centre
Alpha Links,Alpha Links Medical Clinic
Alpha Thigio,Alpha Medical Centre Thigio
Alphine Center,Alphine Health Care Center
Ama Africa Muslim Agency,Ama (Africa Muslim Agency) Clinic
